"Kategoria","Podkategoria","Usługa","Cena min","Cena max","Jednostka","Uwagi"
"Montaż drzwi","Montaż drzwi","Drzwi wewnętrzne dwuskrzydłowe",390,,"zł",
"Montaż drzwi","Montaż drzwi","Drzwi wewnętrzne szklane",370,,"zł",
"Montaż drzwi","Montaż drzwi","Drzwi zewnętrzne (wejściowe)",330,,"zł","od"
"Montaż drzwi","Montaż drzwi","Drzwi przesuwne",462,,"zł",
"Montaż drzwi","Montaż drzwi","Drzwi składane (harmonijkowe)",320,,"zł",
"Montaż drzwi","Montaż drzwi","Transport i wniesienie drzwi",,,"","GRATIS"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Przeciwpożarowe EI30 (jednoskrzydłowe)",550,,"zł","Cena za montaż"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Przeciwpożarowe EI60 (jednoskrzydłowe)",650,,"zł","Cena za montaż"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Przeciwpożarowe EI120 (jednoskrzydłowe)",750,,"zł","Cena za montaż"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Akustyczne 32-37 dB",450,,"zł","Cena za montaż. Pomiar +200 zł"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Akustyczne 38-45 dB",550,,"zł","Cena za montaż. Pomiar +200 zł"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Akustyczne 46-55 dB",650,,"zł","Cena za montaż. Pomiar +300 zł"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Techniczne Do pomieszczeń czystych",650,,"zł","Cena za montaż. Uruchomienie +200 zł, Certyfikacja +300 zł"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Techniczne Chłodnicze",750,,"zł","Cena za montaż. Uruchomienie +300 zł, Certyfikacja +400 zł"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Techniczne RTG",850,,"zł","Cena za montaż. Certyfikacja +500 zł"
"Montaż drzwi","Montaż drzwi specjalistycznych","Drzwi Techniczne Automatyczne",1200,,"zł","Cena za montaż. Uruchomienie +500 zł, Certyfikacja +300 zł"
"Demontaż drzwi","Demontaż drzwi","Ościeżnica drewniana",92,,"zł",
"Demontaż drzwi","Demontaż drzwi","Ościeżnica stalowa",132,,"zł",
"Demontaż drzwi","Demontaż drzwi","Ościeżnica regulowana",85,,"zł",
"Demontaż drzwi","Demontaż drzwi","Utylizacja starych drzwi",50,,"zł",
"Montaż drzwi","Prace dodatkowe przy montażu","Powiększenie otworu do 5 cm (cegła)",108,,"zł",
"Montaż drzwi","Prace dodatkowe przy montażu","Powiększenie otworu do 5 cm (beton)",216,,"zł",
"Montaż drzwi","Prace dodatkowe przy montażu","Wykonanie otworu pod wizjer",55,,"zł",
"Montaż drzwi","Prace dodatkowe przy montażu","Montaż progu",65,,"zł",
"Moskitiery","Moskitiery okienne","Ramkowa standardowa",75,,"zł","od"
"Moskitiery","Moskitiery okienne","Ramkowa wzmocniona",135,,"zł","od"
"Moskitiery","Moskitiery okienne","Rolowana",505,,"zł","od"
"Moskitiery","Moskitiery okienne","Plisowana",385,,"zł","od"
"Moskitiery","Moskitiery okienne","Przesuwna",420,,"zł","od"
"Moskitiery","Moskitiery drzwiowe","Otwierana na zawiasach",445,,"zł","od"
"Moskitiery","Moskitiery drzwiowe","Przesuwna",590,,"zł","od"
"Moskitiery","Moskitiery drzwiowe","Balkonowa otwierana",560,,"zł","od"
"Moskitiery","Moskitiery drzwiowe","Magnetyczna",255,,"zł","od"
"Moskitiery","Moskitiery drzwiowe","Rolowana drzwiowa",685,,"zł","od"
"Moskitiery","Elementy dodatkowe","Profil aluminiowy dodatkowy",30,,"zł/metr","od"
"Moskitiery","Elementy dodatkowe","Siatka z włókna szklanego",15,,"zł/m²","od"
"Moskitiery","Elementy dodatkowe","Mocowania magnetyczne (komplet)",45,,"zł","od"
"Moskitiery","Elementy dodatkowe","Szczotka uszczelniająca",12,,"zł/metr","od"
"Rolety i żaluzje","Rolety zewnętrzne","Roleta nadstawna",450,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Rolety zewnętrzne","Roleta podtynkowa",550,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Rolety zewnętrzne","Roleta nakładana",380,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Rolety zewnętrzne","Roleta antywłamaniowa",850,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Rolety zewnętrzne","Automatyzacja rolety",350,,"zł","od"
"Rolety i żaluzje","Żaluzje","Żaluzje aluminiowe 25mm",85,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Żaluzje","Żaluzje drewniane 25mm",185,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Żaluzje","Żaluzje drewniane 50mm",265,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Żaluzje","Verticale (pionowe)",125,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Żaluzje","Plisy okienne",165,,"zł/m²","od, Cena orientacyjna"
"Rolety i żaluzje","Serwis rolet i żaluzji","Wymiana taśmy rolety",85,,"zł","od"
"Rolety i żaluzje","Serwis rolet i żaluzji","Wymiana sznurka żaluzji",45,,"zł","od"
"Rolety i żaluzje","Serwis rolet i żaluzji","Naprawa mechanizmu rolety",125,,"zł","od"
"Rolety i żaluzje","Serwis rolet i żaluzji","Wymiana silnika elektrycznego",285,,"zł","od"
"Rolety i żaluzje","Serwis rolet i żaluzji","Regulacja prowadnic",65,,"zł","od"
"Okna - sprzedaż z montażem","Okna PCV","Okno jednoskrzydłowe",290,,"zł/m²","od, Cena orientacyjna"
"Okna - sprzedaż z montażem","Okna PCV","Okno dwuskrzydłowe",495,,"zł/m²","od, Cena orientacyjna"
"Okna - sprzedaż z montażem","Okna PCV","Okno trójdzielne",680,,"zł/m²","od, Cena orientacyjna"
"Okna - sprzedaż z montażem","Okna PCV","Okno balkonowe",585,,"zł/m²","od, Cena orientacyjna"
"Okna - sprzedaż z montażem","Okna PCV","Okno łukowe/nietypowe",,,"","wycena indywidualna"
"Okna - sprzedaż z montażem","Opcje dodatkowe","Laminowanie jednostronne",110,,"zł/m²","od, Dopłata"
"Okna - sprzedaż z montażem","Opcje dodatkowe","Laminowanie dwustronne",220,,"zł/m²","od, Dopłata"
"Okna - sprzedaż z montażem","Opcje dodatkowe","Laminowanie dwustronne (różne kolory)",240,,"zł/m²","od, Dopłata"
"Okna - sprzedaż z montażem","Opcje dodatkowe","Szyba 3-szybowa",85,,"zł/m²","od, Dopłata"
"Okna - sprzedaż z montażem","Opcje dodatkowe","Szyba antywłamaniowa",125,,"zł/m²","od, Dopłata"
"Okna - sprzedaż z montażem","Opcje dodatkowe","Ciepła ramka",25,,"zł/mb","od, Dopłata"
"Okna - sprzedaż z montażem","Opcje dodatkowe","Nawiewnik w ramie",85,,"zł/szt","od, Dopłata"
"Usługi dodatkowe","Usługi specjalne","Zmiana funkcji okna (z rozwiernej na uchylno-rozwierną)",95,,"zł","od"
"Usługi dodatkowe","Usługi specjalne","Montaż parapetu wewnętrznego",87,,"zł","od"
"Usługi dodatkowe","Usługi specjalne","Montaż parapetu zewnętrznego",87,,"zł","od"
"Usługi dodatkowe","Usługi specjalne","Odblokowanie zatrzaśniętego okna",60,,"zł",
"Usługi dodatkowe","Usługi specjalne","Odblokowanie drzwi balkonowych",100,,"zł",
"Usługi dodatkowe","Usługi specjalne","Awaryjne otwarcie (poza godzinami pracy)",50,,"%","+"
"Usługi dodatkowe","Usługi specjalne","Montaż klapki dla zwierząt",125,,"zł","od"
"Usługi dodatkowe","Diagnostyka i doradztwo","Przegląd techniczny okien (do 5 sztuk)",75,,"zł",
"Usługi dodatkowe","Diagnostyka i doradztwo","Przegląd techniczny (powyżej 5 sztuk)",125,,"zł",
"Usługi dodatkowe","Diagnostyka i doradztwo","Ekspertyza techniczna",200,,"zł","od"
"Usługi dodatkowe","Diagnostyka i doradztwo","Doradztwo techniczne",,,"","GRATIS"
"Usługi dodatkowe","Diagnostyka i doradztwo","Pomiar okien do wymiany",,,"","GRATIS"
"Pakiety serwisowe","Dla klientów indywidualnych","Pakiet BASIC",149,,"zł","Przegląd + regulacja do 5 okien"
"Pakiety serwisowe","Dla klientów indywidualnych","Pakiet STANDARD",249,,"zł","Przegląd + regulacja + konserwacja do 8 okien"
"Pakiety serwisowe","Dla klientów indywidualnych","Pakiet PREMIUM",399,,"zł","Kompleksowy serwis do 12 okien + priorytet"
"Pakiety serwisowe","Dla firm i wspólnot","Pakiet BIZNES",299,,"zł","od, Miesięczny abonament serwisowy"
"Pakiety serwisowe","Dla firm i wspólnot","Pakiet WSPÓLNOTA",,,"","wycena indywidualna, Serwis części wspólnych"
"Pakiety serwisowe","Dla firm i wspólnot","Pakiet KOMPLEKS",,,"","wycena indywidualna, Roczna obsługa budynku"
