"status","category","name","price","price_unit","subcategory","content"
"draft","okucia","Ogranicznik otwarcia","190.00","per_piece","Okucia okienne",
"draft","okna","Okno jednoskrzydłowe","699.00","per_sqm","Okna PCV",
"draft","okna","Okno trójdzielne","699.00","per_sqm","Okna PCV",
"draft","moskitiery","Moskitiera rolowana drzwiowa","850.00","per_piece","Moskitiery drzwiowe",
"draft","rolety-i-zaluzje","Plisy okienne","165.00","per_sqm","Żaluzje",
"draft","okna","Okno balkonowe","699.00","per_sqm","Okna PCV",
"draft","rolety-i-zaluzje","Automatyzacja rolety","600.00","per_set","Rolety zewnętrzne",
"draft","moskitiery","Moskitiera przesuwna","2200.00","per_piece","Moskitiery drzwiowe",
"draft","okna","Ciepła ramka","25.00","per_meter","Opcje dodatkowe",
"draft","moskitiery","Moskitiera ramkowa standardowa","120.00","per_piece","Moskitiery okienne",
"draft","okna","Laminowanie dwustronne","220.00","per_sqm","Opcje dodatkowe",
"draft","okucia","Uchwyt do drzwi przesuwnych","120.00","per_piece","Klamki i uchwyty",
"draft","okucia","Nożyce okienne","250.00","per_piece","Okucia okienne",
"draft","uszczelki","Uszczelka przylgowa","19.00","per_meter","Uszczelki",
"draft","rolety-i-zaluzje","Roleta podtynkowa","550.00","per_sqm","Rolety zewnętrzne",
"draft","rolety-i-zaluzje","Roleta antywłamaniowa","990.00","per_sqm","Rolety zewnętrzne",
"draft","okucia","Klamka dwustronna balkonowa","150.00","per_piece","Klamki i uchwyty",
"draft","rolety-i-zaluzje","Żaluzje drewniane 25mm","185.00","per_sqm","Żaluzje",
"draft","uszczelki","Uszczelka w ramie okiennej","19.00","per_meter","Uszczelki",
"draft","okucia","Zasuwnica","120.00","per_piece","Okucia okienne",
"draft","szyby","Szyba antywłamaniowa P4","390.00","per_piece","Pakiety szybowe",
"draft","szyby","Szyba ornamentowa","290.00","per_piece","Pakiety szybowe",
"draft","moskitiery","Moskitiera magnetyczna","870.00","per_piece","Moskitiery drzwiowe",
"draft","szyby","Szyba zespolona 1-komorowa (4-16-4)","250.00","per_piece","Pakiety szybowe",
"draft","szyby","Szyba antywłamaniowa","200.00","per_sqm","Opcje dodatkowe",
"draft","okucia","Przedłużka","200.00","per_piece","Okucia okienne",
"draft","rolety-i-zaluzje","Żaluzje drewniane 50mm","265.00","per_sqm","Żaluzje",
"draft","moskitiery","Mocowania magnetyczne (komplet)","99.00","per_set","Elementy dodatkowe",
"draft","uszczelki","Uszczelka szczotkowa","150.00","per_meter","Uszczelki",
"draft","okucia","Zatrzask balkonowy (magnes)","85.00","per_piece","Klamki i uchwyty",
"draft","okucia","Klamka okienna z kluczem","79.00","per_piece","Klamki i uchwyty",
"draft","szyby","Szyba dźwiękochłonna","330.00","per_piece","Pakiety szybowe",
"draft","szyby","Szyba bezpieczna (hartowana)","350.00","per_piece","Pakiety szybowe",
"draft","moskitiery","Szczotka uszczelniająca","19.00","per_meter","Akcesoria",
"draft","okucia","Klamka balkonowa (łopatka)","150.00","per_piece","Klamki i uchwyty",
"draft","okna","Nawiewnik w ramie","150.00","per_sqm","Opcje dodatkowe",
"draft","okucia","Nawiewnik okienny higrosterowany","250.00","per_piece","Mechanizmy specjalne",
"draft","moskitiery","Moskitiera rolowana","800.00","per_piece","Moskitiery okienne",
"draft","szyby","Szyba 3-szybowa","99.00","per_sqm","Opcje dodatkowe",
