"status","title","category","subcategory","price_from","title_en"
"draft","Usunięcie obluzowania szyby","naprawa","Okna","99.00","Removing Loose Glass"
"draft","Naprawa okien drewnianych","naprawa","Okna","99.00","Wooden Window Repair"
"draft","Konserwacja okien drewnianych (czyszczenie + impregnacja)","konserwacja","Okna","90.00","Maintenance of wooden windows (cleaning + impregnation)"
"draft","Regulacja okien przesuwnych PSK/HS","regulacja","Okna","250.00","Adjustment of PSK/HS Sliding Windows"
"draft","Regulacja standardowa skrzydła okiennego","regulacja","Okna","40.00","Standard Window Sash Adjustment"
"draft","Zaawansowana regulacja ze zdejmowaniem skrzydła","regulacja","Okna","99.00","Advanced Adjustment with Sash Removal"
"draft","Wymiana szyby w oknie PCV","naprawa","Okna","69.00","PVC Window Glass Replacement"
"draft","Naprawa zamka","naprawa","Okna","60.00","Lock Repair"
"draft","Wymiana szyby w oknie drewnianym","naprawa","Okna","128.00","Wooden Window Glass Replacement"
"draft","Naprawa okien aluminiowych","naprawa","Okna","99.00","Aluminum Window Repair"
"draft","Czyszczenie i smarowanie okuć","konserwacja","Okucia","90.00","Cleaning and lubrication of hardware"
"draft","Smarowanie okuć (komplet)","konserwacja","Okucia","45.00","Lubrication of hardware (complete)"
"draft","Montaż progu","montaz","Prace dodatkowe przy montażu","150.00","Installation of a Threshold"
"draft","Powiększenie otworu do 5 cm (cegła)","montaz","Prace dodatkowe przy montażu","500.00","Enlarging the Opening to 5 cm (Brick)"
"draft","Powiększenie otworu do 5 cm (beton)","montaz","Prace dodatkowe przy montażu","900.00","Enlarging the Opening to 5 cm (Concrete)"
"draft","Wykonanie otworu pod wizjer","montaz","Prace dodatkowe przy montażu","55.00","Creating a Hole for a Peephole"
"draft","Montaż klapki dla zwierząt","uslugi-dodatkowe","Usługi specjalne","250.00","Installation of a Pet Flap"
"draft","Odblokowanie drzwi balkonowych","uslugi-dodatkowe","Usługi specjalne","250.00","Unlocking a Balcony Door"
"draft","Odblokowanie zatrzaśniętego okna","uslugi-dodatkowe","Usługi specjalne","250.00","Unlocking a Stuck Window"
"draft","Montaż parapetu zewnętrznego","uslugi-dodatkowe","Usługi specjalne","87.00","Installation of an External Window Sill"
"draft","Montaż parapetu wewnętrznego","uslugi-dodatkowe","Usługi specjalne","87.00","Installation of an Internal Window Sill"
"draft","Awaryjne otwarcie (szybki dojazd, również poza godzinami pracy)","uslugi-dodatkowe","Usługi specjalne","299.00","Emergency Opening (Quick Access, Also Outside of Office Hours)"
"draft","Zmiana funkcji okna (z rozwiernej na uchylno-rozwierną)","uslugi-dodatkowe","Usługi specjalne","500.00","Changing the Window Function (from Turn to Tilt-and-Turn)"
